Designator,Mid X,Mid Y,Rotation,Layer
C47,176.03,-91.2,90.0,bottom
C48,184.1,-91.74,90.0,bottom
C49,184.0,-101.32,90.0,bottom
C5,169.14,-94.045,270.0,top
C50,183.43,-95.28,90.0,bottom
C51,177.14,-104.35,0.0,bottom
C52,129.4,-56.225,90.0,top
C53,99.665,-109.0,180.0,top
C54,99.72,-106.92,180.0,top
C55,102.44,-104.08,90.0,top
C56,105.76,-106.62,0.0,bottom
C57,105.86,-110.75,270.0,bottom
C58,105.87,-107.37,0.0,bottom
C59,114.1358,-109.0558,0.0,top
C6,148.36,-134.43,90.0,top
C60,102.89,-101.08,90.0,top
C61,100.05,-98.57,90.0,top
C62,141.625,-105.005,270.0,top
C63,108.48,-118.09,180.0,bottom
C64,112.6,-102.86,270.0,top
C65,112.5,-100.22,90.0,top
C66,78.84,-100.7,90.0,bottom
C67,96.86,-111.65,270.0,top
C68,98.06,-112.6,270.0,top
C69,99.59,-112.83,270.0,top
C7,86.21,-96.73,270.0,top
C70,101.34,-104.19,90.0,top
C71,100.71,-111.51,270.0,top
C72,111.935,-106.97,0.0,top
C73,110.905,-105.8,0.0,top
C74,109.485,-105.04,0.0,top
C75,109.23,-105.81,0.0,top
C76,130.98,-120.08,90.0,top
C77,122.89,-120.41,270.0,top
C78,133.475,-117.62,270.0,bottom
C79,106.55,-124.555,270.0,bottom
C8,150.81,-101.36,180.0,bottom
C80,103.875,-121.385526,0.0,bottom
C81,99.58,-95.98,0.0,top
C82,176.69,-95.3,0.0,bottom
C83,181.32,-103.18,0.0,bottom
C84,184.69,-100.14,0.0,bottom
C85,176.27,-109.17,0.0,top
C86,155.4,-92.26,90.0,bottom
C87,156.76,-90.02,180.0,bottom
C88,157.98,-104.49,180.0,bottom
C89,157.85,-91.7,0.0,bottom
C9,160.95,-124.8,90.0,bottom
C90,157.68,-97.205,270.0,bottom
C91,154.24,-96.54,180.0,bottom
C92,152.6,-102.87,0.0,bottom
C93,145.65,-104.55,0.0,bottom
C94,153.93,-95.65,0.0,bottom
C95,154.45,-94.215,270.0,bottom
C96,153.15,-97.43,0.0,bottom
C97,152.125,-99.75,0.0,bottom
C98,154.58,-89.125,180.0,bottom
C99,153.78,-91.775,180.0,bottom
CR1,122.9,-117.45,270.0,top
CR2,100.38,-94.68,180.0,top
CR3,96.4475,-51.1525,270.0,top
CR6,80.07765,-73.2,0.0,top
CR7,109.55,-135.98,0.0,top
D1,160.265,-135.276849,0.0,top
D2,124.39,-85.5375,90.0,top
D25,97.0825,-96.325,180.0,top
D26,141.55,-56.025,90.0,bottom
D27,119.8,-55.95,90.0,bottom
D28,105.15,-93.33,180.0,top
D32,105.1425,-94.32,0.0,top
D33,105.15,-92.34,0.0,top
D37,91.035,-138.33,270.0,top
D4,172.375,-135.276849,0.0,top
D5,184.725,-135.301849,0.0,top
D6,197.5925,-135.276849,0.0,top
D7,151.375,-133.5006,90.0,top
D8,144.196699,-133.9533,90.0,top
DONE1,127.735,-94.23,180.0,top
F1,123.6,-73.925,270.0,top
F2,84.98,-85.06,180.0,top
FL1,130.7,-123.935,90.0,top
FL2,132.34,-107.05,180.0,top
FL3,98.805001,-111.1603,0.0,top
FL4,109.515,-106.89,180.0,top
FL5,128.425,-105.185,90.0,top
FL6,86.005,-79.97,0.0,top
FL8,85.94,-76.05,0.0,top
FL9,88.215,-96.55,0.0,top
IC1,179.975,-97.325,180.0,top
J1,84.61,-138.103,180.0,top
J10,118.35,-54.25,180.0,top
J11,140.25,-54.25,180.0,top
J12,86.6375,-107.19,270.0,top
J13,80.8,-123.68,270.0,bottom
J14,151.9,-77.82,0.0,top
J15,83.89,-59.62,270.0,top
J16,75.63,-79.05,270.0,top
J17,112.325,-144.98,180.0,top
J18,195.01,-68.5,0.0,top
J19,135.45,-123.17,0.0,top
J2,97.39,-148.15,0.0,top
J20,169.2,-114.0,0.0,top
J21,139.0,-126.8,0.0,top
J22,115.57,-105.63,0.0,top
J3,104.025,-144.66,90.0,top
J4,119.375,-80.88,180.0,top
J5,200.595,-72.675,90.0,top
J6,125.035,-105.3,180.0,top
J7,101.24,-80.95,180.0,top
J8,200.595,-77.675,90.0,top
J9,79.604,-92.25,0.0,top
L1,187.1079,-111.125,180.0,top
L2,80.0,-76.4993,90.0,top
L3,131.5034,-128.75,180.0,top
L4,104.14,-137.74,90.0,top
L5,123.365,-127.97,0.0,top
L6,124.8666,-143.87,0.0,top
L7,131.1234,-143.86,180.0,top
L8,109.115,-101.61,0.0,top
LED_RX1,97.045,-71.02,180.0,top
LED_TX1,97.025,-69.98,180.0,top
P1,183.1451,-61.199573,180.0,top
P2,162.6451,-61.199573,180.0,top
Q10,92.1975,-51.6575,180.0,top
Q7,109.45,-140.7525,270.0,top
Q8,93.5625,-95.09,270.0,top
Q9,127.275,-62.8,0.0,bottom
R1,160.25,-134.276849,0.0,top
R10,96.15,-92.24,0.0,top
R100,121.85,-139.8,0.0,top
R101,135.08,-139.6,180.0,top
R102,132.69,-137.28,180.0,top
R103,134.45,-141.9,90.0,top
R104,135.35,-141.9,270.0,top
R105,121.45,-141.9,90.0,top
R106,120.65,-141.9,270.0,top
R107,118.55,-127.6,90.0,top
R108,117.7,-127.6,270.0,top
R109,134.85,-127.3,90.0,top
R11,98.42,-88.83,180.0,top
R110,135.7,-127.3,270.0,top
R111,98.37,-79.965,270.0,top
R112,91.8,-84.74,0.0,top
R113,88.035,-85.18,270.0,top
R114,127.875,-92.35,90.0,top
R115,126.925,-92.375,270.0,top
R116,178.075,-126.25,270.0,bottom
R117,177.45,-117.975,0.0,bottom
R118,103.94,-85.45,0.0,bottom
R119,103.94,-82.98,0.0,bottom
R12,96.55,-89.62,180.0,top
R120,103.95,-80.67,0.0,bottom
R121,103.94,-88.09,0.0,bottom
R122,127.83,-108.48,0.0,top
R123,127.82,-107.33,0.0,top
R124,88.855,-85.18,270.0,top
R125,121.65,-67.1,0.0,top
R126,121.625,-67.975,0.0,top
R127,114.775,-67.325,180.0,top
R128,114.775,-68.225,180.0,top
R129,137.475,-67.425,90.0,top
R13,184.725,-134.301849,0.0,top
R130,138.05,-68.875,180.0,top
R131,89.655,-85.18,270.0,top
R132,143.875,-66.95,0.0,top
R133,143.9,-67.85,0.0,top
R134,141.35,-62.45,180.0,bottom
R135,139.725,-61.475,0.0,bottom
R136,142.55,-72.8,0.0,top
R137,140.775,-73.725,180.0,top
R138,137.3,-70.6,0.0,top
R139,135.575,-71.525,180.0,top
R14,197.575,-134.301849,0.0,top
R140,135.075,-65.9,0.0,top
R141,133.325,-66.775,180.0,top
R142,142.025,-54.225,180.0,bottom
R143,120.3,-54.15,180.0,bottom
R144,119.7,-61.425,270.0,top
R145,117.875,-61.55,270.0,bottom
R146,118.075,-61.275,0.0,top
R147,116.175,-61.025,180.0,top
R148,123.2,-68.675,90.0,bottom
R149,120.4,-70.325,270.0,bottom
R15,202.565,-136.726849,90.0,top
R150,114.75,-61.475,270.0,top
R151,113.4,-61.475,270.0,top
R152,129.925,-66.529999,90.0,bottom
R153,129.37,-59.99,0.0,top
R154,123.825,-60.375,90.0,bottom
R155,123.625,-65.125,0.0,bottom
R156,105.89,-105.04,90.0,bottom
R157,112.255,-112.125,180.0,top
R158,110.775,-109.125,180.0,top
R159,110.775,-109.875,180.0,top
R16,96.58,-90.76,0.0,top
R160,110.775,-113.245,0.0,top
R161,112.235,-109.125,0.0,top
R162,112.245,-109.875,0.0,top
R163,112.235,-113.235,0.0,top
R164,113.7,-112.125,0.0,top
R165,112.245,-111.375,0.0,top
R166,112.245,-110.625,0.0,top
R167,110.785,-111.375,0.0,top
R168,110.795,-112.125,0.0,top
R169,110.78,-110.625,0.0,top
R17,168.67,-92.77,180.0,top
R170,109.47,-115.97,0.0,top
R171,140.675,-104.875,270.0,top
R172,101.42,-102.64,0.0,top
R173,106.05,-95.86,90.0,top
R174,103.68,-95.79,90.0,top
R175,105.21,-95.84,90.0,top
R176,102.88,-95.77,90.0,top
R177,106.95,-95.86,90.0,top
R178,104.46,-95.99,270.0,top
R179,103.875,-119.2,180.0,bottom
R18,120.07,-107.73,270.0,bottom
R180,109.03,-101.65,90.0,bottom
R181,78.86,-102.96,90.0,bottom
R182,101.87,-113.02,270.0,top
R183,125.55,-118.375,180.0,top
R184,88.825,-123.325,270.0,bottom
R185,110.875,-119.1,180.0,top
R186,104.195,-123.010526,270.0,bottom
R187,100.285,-93.130126,0.0,top
R188,125.55,-117.45,180.0,top
R189,131.1,-81.125,180.0,top
R19,119.17,-107.72,90.0,bottom
R190,132.99,-81.13,0.0,top
R191,161.275,-81.125,0.0,top
R192,161.375,-74.875,180.0,bottom
R193,95.02,-90.28,270.0,top
R194,98.48,-90.75,0.0,top
R195,89.14,-87.56,0.0,top
R196,86.81,-86.525,180.0,top
R197,80.875,-96.825,90.0,bottom
R198,86.71,-64.64,180.0,bottom
R199,94.8325,-52.7225,270.0,top
R2,172.35,-134.301849,0.0,top
R20,168.24,-94.19,270.0,top
R200,94.8125,-50.8125,270.0,top
R201,98.89,-56.62,0.0,bottom
R202,101.8975,-51.702502,270.0,top
R203,95.765,-62.895,90.0,bottom
R204,90.435,-85.2,270.0,top
R205,98.47,-71.38,270.0,top
R206,132.78,-138.15,180.0,top
R207,124.8,-60.375,90.0,bottom
R208,98.48,-69.865,90.0,top
R209,90.47,-68.24,180.0,bottom
R21,189.425,-136.626849,90.0,top
R210,87.39,-70.22,90.0,bottom
R211,88.58,-72.21,180.0,top
R212,88.59,-73.66,180.0,top
R213,86.715,-78.02,0.0,top
R214,84.19,-81.46,180.0,top
R215,84.18,-82.3,0.0,top
R218,85.55,-74.67,0.0,top
R22,176.875,-136.501849,90.0,top
R23,164.475,-136.426849,90.0,top
R234,143.675,-110.55,270.0,bottom
R235,142.6,-109.275,270.0,bottom
R236,144.775,-111.55,270.0,bottom
R237,147.05,-111.975,0.0,bottom
R238,147.0,-110.425,270.0,bottom
R239,141.375,-110.175,270.0,bottom
R24,165.475,-136.451849,90.0,top
R240,121.65,-66.2,180.0,top
R241,143.875,-66.025,180.0,top
R25,177.825,-136.526849,90.0,top
R26,190.4,-136.651849,90.0,top
R27,201.515,-136.726849,90.0,top
R28,143.05,-142.55,90.0,bottom
R29,150.05,-142.575,90.0,bottom
R3,94.09,-92.23,180.0,top
R30,147.49,-134.42,90.0,top
R31,148.8,-136.0,0.0,top
R32,149.22,-134.43,90.0,top
R33,150.46,-123.45,90.0,top
R34,152.835,-127.6,90.0,top
R35,158.61,-127.7,90.0,top
R36,174.275,-116.1,180.0,top
R37,157.45,-107.21,90.0,top
R38,176.775,-129.15,0.0,bottom
R39,169.75,-122.075,90.0,top
R4,158.41,-107.2,270.0,top
R40,168.7,-122.1,270.0,top
R41,169.725,-119.675,90.0,top
R42,168.775,-119.7,270.0,top
R43,110.54,-123.26,270.0,top
R44,109.4926,-127.189411,180.0,top
R45,105.7676,-125.864411,90.0,top
R46,117.19,-83.63,90.0,bottom
R47,121.7,-82.875,270.0,bottom
R48,120.73,-86.62,0.0,bottom
R49,121.725,-84.975,90.0,bottom
R5,175.84,-96.89,90.0,bottom
R50,163.325,-121.225,180.0,bottom
R51,98.37,-81.66,270.0,top
R52,193.125,-124.75,270.0,bottom
R53,160.83,-89.4,180.0,top
R54,128.8,-92.35,90.0,top
R55,159.56,-127.725,90.0,top
R56,153.785,-127.6,90.0,top
R57,151.41,-123.475,90.0,top
R58,141.071699,-134.6283,90.0,top
R59,141.596699,-136.1283,0.0,top
R6,162.85,-108.18,180.0,top
R60,142.021699,-134.5783,90.0,top
R61,143.275,-127.5,90.0,top
R62,147.785,-127.525,90.0,top
R63,151.36,-129.3,270.0,top
R64,150.36,-129.25,90.0,top
R65,148.735,-127.525,90.0,top
R66,142.375,-127.5,90.0,top
R67,168.275,-64.525,90.0,top
R68,167.4,-64.525,90.0,top
R69,163.175,-64.525,90.0,top
R7,160.64,-108.16,180.0,top
R70,162.3,-64.525,90.0,top
R71,188.775,-64.525,90.0,top
R72,187.875,-64.525,90.0,top
R73,183.575,-64.25,90.0,bottom
R74,182.7,-64.25,90.0,bottom
R75,168.2,-58.175,270.0,bottom
R76,167.225,-58.15,270.0,bottom
R77,163.125,-58.175,270.0,bottom
R78,162.175,-58.175,270.0,bottom
R79,188.875,-58.15,270.0,bottom
R8,146.825,-114.675,270.0,bottom
R80,187.5,-58.125,270.0,bottom
R81,183.775,-58.1,270.0,bottom
R82,182.475,-58.1,270.0,bottom
R83,111.47,-138.72,270.0,top
R84,111.7,-140.8,270.0,top
R85,106.92,-142.46,0.0,top
R86,106.72,-141.63,180.0,top
R87,100.9,-140.325,90.0,top
R88,99.975,-140.325,270.0,top
R89,98.28,-140.16,270.0,top
R9,92.15,-92.22,180.0,top
R90,97.33,-140.11,90.0,top
R91,100.45,-141.925,180.0,top
R92,101.97,-96.05,90.0,top
R93,90.13,-92.33,180.0,top
R94,95.77,-96.61,270.0,top
R95,174.6,-94.6,90.0,top
R96,182.84,-90.36,0.0,top
R97,133.55,-133.8,180.0,top
R98,122.2,-133.85,0.0,top
