Designator,Footprint,Quantity,Value,LCSC Part #
R12,R_0402,1,10.7K 1%,C159144
"R122, R123",R_0402,2,140,C327016
"R127, R128, R129, R130, R152, R203, R39, R41, R46, R47",R_0402,10,1K,C106235
"R134, R135, R136, R137, R138, R139, R140, R141, R144, R145, R146, R147, R148, R149, R150, R151, R50",R_0402,17,49.9,C87044
"R142, R143",R_0402,2,27K,C138022
"R153, R181, R198",R_0402,3,1MEG,C138033
"R156, R16, R171, R180, R200, R201, R3, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R91",R_0402,24,0,C106231
"R157, R158, R159",0201,3,1.2K,C327393
"R161, R162, R163, R164, R165, R166",0201,6,0,c106228
R172,R_0402,1,2.49K 1%,C145071
"R173, R174, R175",R_0402,3,390,C137997
"R176, R177, R84, R93",R_0402,4,4.7k,C105871
"R182, R183, R189, R190, R191, R192, R33, R34, R35, R55, R56, R57, R61, R62, R63, R64, R65, R66",R_0402,18,2.2K,c114762
"R184, R44",R_0402,2,200,C114764
R185,R_0402,1,47K,C93943
"R187, R92",R_0402,2,15K,C114761
R188,R_0402,1,82,C163453
"R194, R195",R_0402,2,26.1K 1%,C155697
"R197, R214, R215, R83, R98",R_0402,5,100K,C60491
R199,R_0402,1,330K,c138006
"R205, R208",0201,2,510,C965358
R213,0201,1,12K,C2092166
"R234, R235, R236, R237, R238, R239, R4, R8",R_0402,8,40.2 1%,C274892
"R240, R241",R_0402,2,200k,c114763
"R30, R58",R_0402,2,86.6,C830266
"R31, R59",R_0402,2,150,C138054
"R32, R60",R_0402,2,75,C114757
R5,R_0402,1,100 1%,C106232
R52,R_0402,1,5.6K,C163457
"R6, R7",R_0402,2,80.6 1%,C843839
R87,R_0402,1,13.3K/1%,C274352
R88,R_0402,1,69.8K/1%,C852893
R9,R_0402,1,1.3K 1%,C185455
R90,R_0402,1,62k/1%,C137950
R94,0201,1,680,C473509
R95,R_0402,1,240 1%,C114755
R97,R_0402,1,33K,C138003
S6,TS-1002S-050xxC_XNP,1,BTN1,C455110
S7,TS-1002S-050xxC_XNP,1,BTN0,C455110
S8,TS-1002S-050xxC_XNP,1,BTN2,C455110
S9,TS-1002S-050xxC_XNP,1,BTN3,C455110
"SW0, SW1",SW_EG1218,2,SW_SPDT,
U1,CLG400_ZYNQ-7000_AMD,1,XC7Z020-1CLG400I__,C1519081
"U10, U34, U35, U37, U38, U39",DIO_TPD1E05U06DPYR,6,TPD1E05U06DPYR,C436349
U11,SC-74A_318BQ_ONS,1,NC7SZ125M5X,C7420
U12,RTL8211F-CG_RTK,1,RTL8211F-CG,C187932
U13,RTW24_2P45X2P45,1,TXS02612RTWR,C140276
U14,TLV62130RGTT,1,TLV62130RGTT,C122479
U15,SOIC8-N_MC_MCH,1,93LC56B-I/SN,C183620
U16,SOT-23,1,REF3012,C34674
"U17, U21, U23",NC7WZ07P6X,3,NC7WZ07P6X,C95342
"U18, U19",SOT553-5_ONS,2,NL17SZ17XV5T2G,C152502
"U2, U8",DCU8,2,PCA9306TDCURQ1,C33196
U22,RGZ0048B,1,TPS65400RGZT,C201658
"U24, U27, U28, U29, U30",IC_TPD4E05U06DQAR,5,TPD4E05U06DQAR,C138714
U25,DBV0005A_L,1,TPS2051BDBVR,C24593
U26,RHB32_3P45X3P45,1,TUSB1210BRHBT,C2671015
U3,64QFN_FT2232HQ_FTD,1,FT2232HQ,C3025148
"U31, U32, U33",SOT236,3,MBT3904DW1T1G,C110150
