Designator,Mid X,Mid Y,Rotation,Layer
C37,167.75,-104.15,180.0,bottom
C38,170.0,-104.1,0.0,bottom
C39,171.7,-103.0,90.0,bottom
C4,172.8,-97.1,270.0,top
C40,164.8,-89.95,0.0,bottom
C41,166.95,-89.9,180.0,bottom
C42,171.65,-101.0,90.0,bottom
C43,171.75,-91.75,90.0,bottom
C44,169.0,-89.9,180.0,bottom
C45,167.75,-105.1,0.0,bottom
C46,162.95,-92.95,0.0,bottom
C47,172.05,-94.05,270.0,bottom
C48,163.2,-97.55,0.0,bottom
C49,163.25,-100.8,0.0,bottom
C5,171.8,-97.05,270.0,top
C50,162.6,-90.25,90.0,bottom
C51,163.95,-104.85,270.0,bottom
C52,129.5,-57.4731,180.0,bottom
C53,105.35,-107.8,180.0,top
C54,103.9,-116.15,0.0,bottom
C55,103.85,-114.05,0.0,bottom
C56,117.35,-109.7,180.0,bottom
C57,104.05,-112.1,0.0,bottom
C58,113.85,-109.4,180.0,bottom
C59,116.0,-111.25,90.0,top
C6,135.5,-135.4,270.0,bottom
C60,114.25,-107.25,270.0,bottom
C61,106.3,-99.6,0.0,bottom
C62,105.35,-109.2,180.0,top
C63,184.25,-96.85,270.0,bottom
C64,116.75,-117.85,180.0,bottom
C65,119.45,-117.9,0.0,bottom
C66,81.25,-111.75,0.0,bottom
C67,119.5,-108.25,90.0,bottom
C68,117.75,-108.75,0.0,bottom
C69,118.5,-107.0,270.0,bottom
C7,143.4,-136.55,180.0,bottom
C70,117.25,-107.0,270.0,bottom
C71,115.75,-107.0,270.0,bottom
C72,105.7,-121.1,0.0,bottom
C73,107.75,-120.55,180.0,bottom
C74,119.4,-118.95,0.0,bottom
C75,119.35,-120.4,0.0,bottom
C76,142.25,-85.4,0.0,bottom
C77,140.15,-82.6,90.0,bottom
C78,142.25,-84.55,0.0,bottom
C79,187.5,-89.25,180.0,bottom
C8,173.0,-120.2,270.0,bottom
C80,187.5,-87.75,180.0,bottom
C81,118.75,-126.75,270.0,bottom
C82,171.75,-98.95,90.0,bottom
C83,164.85,-104.85,270.0,bottom
